p: 0.000000 0.000000 -5.000000
co->n: 0.000000 1.000000 0.000000
ph: -0.243914 0.002036 1.713603, result: 0.002036
ph: -0.233262 0.005641 1.712985, result: 0.005641
ph: -0.222502 0.009124 1.712388, result: 0.009124
ph: -0.211629 0.012481 1.711813, result: 0.012481
ph: -0.200638 0.015709 1.711259, result: 0.015709
ph: -0.189524 0.018802 1.710729, result: 0.018802
ph: -0.178281 0.021755 1.710223, result: 0.021755
ph: -0.166904 0.024564 1.709742, result: 0.024564
ph: -0.155386 0.027221 1.709286, result: 0.027221
ph: -0.143720 0.029722 1.708858, result: 0.029722
ph: -0.131900 0.032060 1.708457, result: 0.032060
ph: -0.119918 0.034227 1.708086, result: 0.034227
ph: -0.107765 0.036216 1.707745, result: 0.036216
ph: -0.095432 0.038019 1.707436, result: 0.038019
ph: -0.082910 0.039627 1.707160, result: 0.039627
ph: -0.070189 0.041030 1.706919, result: 0.041030
ph: -0.057257 0.042218 1.706716, result: 0.042218
ph: -0.044102 0.043180 1.706551, result: 0.043180
ph: -0.030711 0.043903 1.706427, result: 0.043903
ph: -0.360955 0.002669 1.692447, result: 0.002669
ph: -0.351316 0.007491 1.691630, result: 0.007491
ph: -0.341607 0.012226 1.690829, result: 0.012226
ph: -0.331826 0.016872 1.690042, result: 0.016872
ph: -0.321969 0.021426 1.689271, result: 0.021426
ph: -0.312033 0.025886 1.688516, result: 0.025886
ph: -0.302016 0.030249 1.687778, result: 0.030249
ph: -0.291915 0.034513 1.687056, result: 0.034513
ph: -0.281726 0.038674 1.686351, result: 0.038674
ph: -0.271446 0.042730 1.685665, result: 0.042730
ph: -0.261071 0.046678 1.684996, result: 0.046678
ph: -0.250598 0.050513 1.684347, result: 0.050513
ph: -0.240022 0.054233 1.683717, result: 0.054233
ph: -0.229340 0.057833 1.683108, result: 0.057833
ph: -0.218546 0.061310 1.682519, result: 0.061310
ph: -0.207636 0.064658 1.681953, result: 0.064658
ph: -0.196605 0.067875 1.681408, result: 0.067875
ph: -0.185447 0.070954 1.680887, result: 0.070954
ph: -0.174157 0.073890 1.680390, result: 0.073890
ph: -0.162728 0.076678 1.679918, result: 0.076678
