p: 0.000000 0.000000 -5.000000
co->n: 0.000000 1.000000 0.000000
ph: -0.103916 -1.999960 2.884857, result: -1.999960
ph: -0.091679 -1.999706 2.885125, result: -1.999706
ph: -0.079446 -1.999484 2.885360, result: -1.999484
ph: -0.067217 -1.999294 2.885561, result: -1.999294
ph: -0.054991 -1.999136 2.885729, result: -1.999136
ph: -0.042768 -1.999009 2.885862, result: -1.999009
ph: -0.030547 -1.998914 2.885963, result: -1.998914
ph: -0.018328 -1.998851 2.886030, result: -1.998851
ph: -0.006109 -1.998819 2.886063, result: -1.998819
ph: 0.006109 -1.998819 2.886063, result: -1.998819
ph: 0.018328 -1.998851 2.886030, result: -1.998851
ph: 0.030547 -1.998914 2.885963, result: -1.998914
ph: 0.042768 -1.999009 2.885862, result: -1.999009
ph: 0.054991 -1.999136 2.885729, result: -1.999136
ph: 0.067217 -1.999294 2.885561, result: -1.999294
ph: 0.079446 -1.999484 2.885360, result: -1.999484
ph: 0.091679 -1.999706 2.885125, result: -1.999706
ph: 0.103916 -1.999960 2.884857, result: -1.999960
ph: -0.289031 -1.999728 2.872088, result: -1.999728
ph: -0.276629 -1.998985 2.872878, result: -1.998985
ph: -0.264240 -1.998276 2.873633, result: -1.998276
ph: -0.251865 -1.997600 2.874352, result: -1.997600
ph: -0.239502 -1.996957 2.875036, result: -1.996957
ph: -0.227150 -1.996347 2.875685, result: -1.996347
ph: -0.214810 -1.995770 2.876299, result: -1.995770
ph: -0.202479 -1.995226 2.876878, result: -1.995226
ph: -0.190159 -1.994714 2.877423, result: -1.994714
ph: -0.177848 -1.994235 2.877933, result: -1.994235
ph: -0.165546 -1.993788 2.878408, result: -1.993788
ph: -0.153251 -1.993373 2.878849, result: -1.993373
ph: -0.140964 -1.992991 2.879256, result: -1.992991
ph: -0.128684 -1.992641 2.879629, result: -1.992641
ph: -0.116409 -1.992323 2.879967, result: -1.992323
ph: -0.104141 -1.992037 2.880272, result: -1.992037
ph: -0.091877 -1.991783 2.880542, result: -1.991783
ph: -0.079618 -1.991560 2.880779, result: -1.991560
ph: -0.067363 -1.991370 2.880981, result: -1.991370
ph: -0.055111 -1.991211 2.881150, result: -1.991211
ph: -0.042861 -1.991084 2.881285, result: -1.991084
ph: -0.030614 -1.990989 2.881386, result: -1.990989
ph: -0.018368 -1.990926 2.881454, result: -1.990926
ph: -0.006122 -1.990894 2.881488, result: -1.990894
ph: 0.006122 -1.990894 2.881488, result: -1.990894
ph: 0.018368 -1.990926 2.881454, result: -1.990926
